millis,time,data,min,max
812684,11.11,1476,,
812695,11.121,1478,,
812706,11.132,1481,,
812716,11.142,1490,,
812724,11.15,1490,,
812735,11.161,1488,,
812746,11.172,1488,,
812754,11.18,1492,,
812765,11.191,1493,,
812775,11.201,1501,,
812786,11.212,1503,,
812794,11.22,1501,,
812805,11.231,1502,,
812816,11.242,1501,,
812824,11.25,1505,,
812835,11.261,1509,,
812846,11.272,1511,,
812854,11.28,1517,,
812865,11.291,1517,,
812876,11.302,1517,,
812884,11.31,1520,,
812895,11.321,1521,,
812906,11.332,1527,,
812914,11.34,1521,,
812925,11.351,1517,,
812936,11.362,1524,,
812944,11.37,1525,,
812955,11.381,1527,,
812966,11.392,1530,,
812974,11.4,1534,,
812985,11.411,1536,,
812996,11.422,1526,,
813004,11.43,1534,,
813015,11.441,1542,,
813026,11.452,1537,,
813034,11.46,1536,,
813045,11.471,1538,,
813056,11.482,1545,,
813064,11.49,1547,,
813075,11.501,1545,,
813086,11.512,1535,,
813094,11.52,1538,,
813105,11.531,1547,,
813116,11.542,1546,,
813124,11.55,1553,,
813135,11.561,1553,,
813146,11.572,1552,,
813156,11.582,1551,,
813164,11.59,1546,,
813175,11.601,1549,,
813186,11.612,1557,,
